Adrino Mobile Sp. z o.o.,Unknown,
ADRINO Sp. z o.o.,Unknown,
ADRINO Sp. z o.o., Ad Network,Unknown,
AdRiver,Data Management Platform (DMP),
adrule mobile GmbH,Ad Platform,
Ads Interactive Ltd.,Unknown,
adSage,Ad Agency,
Adschoom,Ad Network,
Adscoconut,Ad Exchange,
Adseek Media,Ad Network,
AdSentinel,Ad Platform,
Adserve.zone / Artworx AS,Unknown,
Adserver.Online,Ad Server,
AdServing Factory srl,Unknown,
AdShark Marketing,Ad Agency,
Adskom,Ad Platform,
Adslot,Ad Network,
Adsmovil España S.L,Ad Network,
AdSniper,Demand Side Platform (DSP),
ADSOCY,Ad Network,
Adsolutions BV,Unknown,
AdSparc,Ad Platform,
AdSpeed,Ad Platform,
AdSpirit GmbH,Ad Server,
Adspruce,Sell Side Platform (SSP),
Adsquare,Ad Platform,
adsquare GmbH,Ad Platform,
Adssets AB,Unknown,
ADstage,Ad Platform,
Adstanding,Data Management Platform (DMP),
AdStir,Sell Side Platform (SSP),
ADSTOURS SAS,Ad Network,
Adstra,Service Provider;Ad Platform,
Adsuit,Retargeting / Optimization,
AdSupply,Ad Network,
Adswerve, Inc.,Attribution / Analytics,
Adswizz,Ad Network,
AdsWizz Inc.,Ad Exchange,
Adsyield Inc,Unknown,
Adtarget Teknoloji A.S.,Ad Network,console.adtarget.com.tr;sync.console.adtarget.com.tr
ADTARGET.ME UAB,Retargeting / Optimization;Ad Network,static-trackers.adtarget.me;trackers.adtarget.me
Adtechium,Ad Platform,
Adtegrity,Ad Agency,
Adtelligent Inc.,Sell Side Platform (SSP),
AdTheorent, Inc,Ad Network,
Adthink Media,Ad Exchange;Ad Network,adxcore.com;dispatcher.adxcore.com
AdTiger,Ad Network,
Adtima,Ad Platform,
AdTiming Technology Company Limited,Unknown,
Adtoma,Ad Platform,
Adtoox,Ad Platform,
AdTouch,Ad Agency,
Adtriba GmbH,Unknown,
ADTTRIBUTION Inc,Ad Network,
AdUnity LTD,Ad Platform,
ADUX,Ad Exchange,
Advance Local,Publisher Related,
advanced store GmbH,Retargeting / Optimization;Ad Network,ad4m.at;ad4mat.net;as.ad4m.at
Advangelists,Ad Network,
Advanse,Ad Network,
Advark,Ad Platform,
Adventive,Ad Platform,
ADventori SAS,Ad Platform;Ad Network,adventori.com
Adverline,Ad Network,
Advernet.es,Publisher Related,
Adverserve digital advertising services GmbH,Ad Server,
Advert.com,Ad Platform,
Adverticum cPlc.,Ad Server,
Advertise.com,Ad Network,
Advertising Checking Bureau,Ad Agency,
Advertising.Tech FZ-LLC,Unknown,
Advertserve,Ad Network,imagazine.advertserve.com
Adverty AB (publ),Ad Platform,
AdView,Ad Exchange,
Advisible AB,Ad Platform,
advmaker,Ad Network,
Advocacy WOM Ltd.,Service Provider,
Advolution.control,Ad Server,
Advrtas,Ad Platform,
Adwatch,Unknown,
ADWAYS SAS,Ad Agency,
Adwerx,Retargeting / Optimization,
Adwise,Data Management Platform (DMP),
adWMG,Ad Platform,
adworx,Ad Server,
ADXDirect,Ad Network,
Adxperience SAS,Unknown,
AdYapper,Attribution / Analytics,
Adyen,Customization,checkoutshopper-live.adyen.com
AdYouLike,Ad Network,
ADYOULIKE SA,Ad Platform;Ad Network,omnitagjs.com;visitor.omnitagjs.com
Adz Central,Demand Side Platform (DSP),
ADZHub,Demand Side Platform (DSP),
Adzymic Pte Ltd,Unknown,
AE Networks,Ad Network,
affilinet,Unknown,
Affilired,Ad Network,
Affinity Answers,Ad Platform,
Affinity Solutions,Ad Platform,
AffinityAnswers,Market research / Consumer survey,
Afilead,Ad Network,
Afilio,Ad Network,
AfterShip,Customization,samsunguk.aftership.com;widgets.automizely.com
Agate Systems Limited,Unknown,
Agency360,Ad Agency,
Agenda Media,Ad Network,
agof - daily campaign facts,Ad Agency,
agof studies,Unknown,
Ahalogy,Ad Platform,
Ai Media Group,Ad Agency,
Aidata,Data Management Platform (DMP),
AIDEM Technologies LTD,Ad Network,
Aimtell,Retargeting / Optimization,
AIO Media,Retargeting / Optimization,
AirPR,Attribution / Analytics,
Airship,Attribution / Analytics,
Airtory,Ad Platform,
AJA SSP,Ad Network,
Akamai,Service Provider;Ad Network;Customization,p11.techlab-cdn.com;79423.analytics.edgekey.net;*.akamaihd.net;*.akstat.io;bcbolt3bf711a4-a.akamaihd.net;bcsecure01-a.akamaihd.net;brightcove04pmdo-a.akamaihd.net;ds-aksb-a.akamaihd.net;ma417-r.analytics.edgekey.net;mavshacklive.akamaized.net;s.go-mpulse.net;trial-eum-clientnsv4-s.akamaihd.net;trial-eum-clienttons-s.akamaihd.net
Alamini Creative Group,Ad Agency,
Albacross Nordic AB,Retargeting / Optimization;Ad Network,serve.albacross.com
Albert,Ad Platform,
Albertsons,Ad Platform,
AlgoriX Technology Pte. Ltd.,Unknown,
Alibabuy.com,Publisher Related,
Alike Audience,Ad Platform,
AlikeAudience,Demand Side Platform (DSP),
Alinean, Inc.,Service Provider,
Alive & Kicking Global Limited,Unknown,
Alkimi,Unknown,
All iN Marketing Cloud,Ad Agency,
Allegro sp. z o.o.,Unknown,
AllFont.net,Publisher Related,
Alliance Gravity Data Media,Unknown,
Alliant,Retargeting / Optimization;Ad Platform,
Alliant Studios,Ad Agency,
Allyes,Ad Network,
AlmondNet Data Division,Data Provider / Aggregator,
Alphalyr SAS,Service Provider,
Alphonso,Unknown,
Alphonso Inc.,Retargeting / Optimization,
Alphonso Inc. ,Unknown,
Altavia ACT*,Ad Agency,
Altitude Digital,Sell Side Platform (SSP),
Always-Computing SAS,Unknown,
Amazon (Cloudfront),Customization,*.cloudfront.net
Amazon (Web Services),Customization,ads.avct.cloud;arc-builds-staging.s3.amazonaws.com;arc-builds-staging.s3.eu-west-1.amazonaws.com;cheil-goliath.s3.amazonaws.com;cheil-it.s3.eu-central-1.amazonaws.com;kxuploads.s3.eu-west-2.amazonaws.com;linoleum.s3.eu-north-1.amazonaws.com;live-chat-static.s3.amazonaws.com;optiabtests.s3.eu-west-2.amazonaws.com;s3.amazonaws.com;s3.eu-central-1.amazonaws.com;s3.eu-west-1.amazonaws.com;s3-eu-west-1.amazonaws.com;s3.us-west-2.amazonaws.com;samsung-repair-prices.s3.eu-west-2.amazonaws.com;samsung-ticketmaster.s3.eu-central-1.amazonaws.com;sc-devel.s3.eu-central-1.amazonaws.com;trade-in-data.s3.eu-west-2.amazonaws.com;withgalaxy.s3-eu-west-1.amazonaws.com
Amazon Ad Server,Ad Network,a.rfihub.com;bs.serving-sys.com;c1.rfihub.net;p.rfihub.com;*.rfihub.com;rfihub.com;secure-ds.serving-sys.com
Amazon Ad System,Unknown,
Amazon Ads,Unknown,
Amazon Advertising,Ad Network,amazon-adsystem.com;c.amazon-adsystem.com;s.amazon-adsystem.com
Amazon Associates,Ad Server,
Amazon Web Services, Inc. ,Unknown,
AmberAds,Retargeting / Optimization,
AmberData,Data Management Platform (DMP),
Ameribase Digital,Ad Platform,
American Public Education, Inc.,Publisher Related,
AmeriLINK,Ad Platform,
AMM Media Marketing,Ad Agency,
Amnet GmbH,Demand Side Platform (DSP),
Amobee,Unknown,
Amobee Inc.,Ad Server;Ad Network,sync.tidaltv.com;tidaltv.com;turn.com
Ampersand,Ad Network,
Amplified IntelligenceTechnologies,Unknown,
Amplify2,Ad Agency,
Ampush,Ad Network,
Analytics IQ,Ad Platform,
Analytics Pros,Attribution / Analytics,
Anaplan,Service Provider,
Ancestry.com,Publisher Related,
Angle Tech,Ad Platform,
Angular JS,Attribution / Analytics,code.angularjs.org
AnimatedImages.org,Social / Sharing Tools,
ANINPRO-CREATIVE, S.L.,Ad Network,
Aniview LTD,Ad Server,
Annalect,Data Management Platform (DMP),
Annonsera SUNT AB,Unknown,
Anonymised,Unknown,
Answers,Service Provider,
Antevenio,Ad Network,
ANTS,Customization,ants.vn
AntVoice,Retargeting / Optimization,
Anzu,Ad Network,
Anzu Virtual Reality LTD,Unknown,
AOD Marketing,Ad Agency,
Apacdex Digital Exchange,Ad Exchange,
Aparat,Ad Network,www.aparat.com
Apester Ltd,Ad Agency,
Aploze,Customization,api.aploze.com;cdn.aploze.com;js.aploze.com
Apollo Program,Ad Platform,
Appcast,Ad Platform,
Appier PTE Ltd,Retargeting / Optimization,
Apple Search Ads,Ad Network,
AppLovin,Ad Network,
AppLovin Corp.,Ad Network,
AppsFlyer,Attribution / Analytics,appsflyer.com
Appsflyer,Ad Platform,
Appstock LTD.,Unknown,
appTV Ltd.,Retargeting / Optimization,
Appush Technologies,Ad Platform,
APSIS,Ad Agency,
Aptivada,Service Provider,
Arago,Ad Platform,
ARC,Retargeting / Optimization,
Arche Comunicazione,Ad Agency,
ArcSpan Technologies, Inc.,Unknown,
Arcspire Limited,Unknown,
Arity,Ad Platform,
Ark Marketplace,Social / Sharing Tools,
Arkeero,Unknown,
ARKHEUS,Ad Agency,
ARMIS SAS,Unknown,
ARN,Ad Network,
Arpeely Ltd.,Unknown,
Arrivalist Co.,Data Provider / Aggregator,
Art Machine,Ad Agency,
Art19,Retargeting / Optimization,
ArtChaos s.r.o.,Unknown,
Artefact Deutschland GmbH,Ad Agency,
Artegic,Ad Platform,
Artimedia Technologies Ltd.,Ad Platform,
Artland,Social / Sharing Tools,
Artsai,Ad Agency,
Aryel s.r.l,Unknown,
Aseal,Ad Platform,
Ask Locala,Ad Platform,
ASL Marketing,Retargeting / Optimization;Ad Platform,
AT Internet,Attribution / Analytics,
Atedra,Ad Network,
Atlassian,Customization,log.cheileu.com
Atom Tickets,Ad Platform,
Attain,Ad Platform,
Attribute Data,Data Provider / Aggregator,
Audience Media TV,Data Management Platform (DMP),
Audience Network,Unknown,
Audience One,Ad Platform,
Audience Partner,Ad Platform,
Audience Solutions S.A.,Ad Agency;Ad Network,acdc.api.dmp.nsaudience.pl;adsearch.adkontekst.pl;api.spoldzielnia.nsaudience.pl;atm.api.dmp.nsaudience.pl;nsaudience.pl
Audience Synergy,Ad Platform,
Audience Trading Platform Ltd.,Ad Platform,
Audience2Media,Ad Network,
Audience73,Ad Platform,
AudienceProject Aps,Unknown,
Audiencerate,Unknown,
Audiencerate LTD,Data Management Platform (DMP);Ad Network,audrte.com
AudienceRun corp,Ad Network,
Audiences by Ziff Davis,Ad Platform,
AudienceScience, Inc.,Ad Platform,
Audienciad,Ad Exchange,
Audiens,Ad Platform,
Audiens S.r.l.,Data Management Platform (DMP),
Audienzz AG,Unknown,
AuDigent,Retargeting / Optimization,
Audigent,Ad Platform,
audio content & control GmbH,Unknown,
audio content &amp; control GmbH,Unknown,
AudioBoom,Ad Platform,
Audiohook Corporation,Retargeting / Optimization,
AUDIOMOB LTD,Unknown,
Audion,Unknown,
Auditorius,Demand Side Platform (DSP),
Aunica,Unknown,
Aurora,Ad Platform,
AutoAlert,Data Provider / Aggregator,
Automatad,Ad Platform,
Automattic Ads,Ad Platform,
Avalanche LLC,Social / Sharing Tools,
Avandor,Ad Platform,
Avantis Video Ltd,Ad Network,
Avazu Inc.,Ad Network,
Avent Media Group,Ad Network,
Avenue100,Ad Agency,
AVID Ad Server,Ad Server,
Avnet Services,Customization,
Avocet Systems Limited,Demand Side Platform (DSP),
AVPlayer,Ad Agency,
Awin (affili.net),Unknown,
AWIN AG,Ad Network,sciencebehindecommerce.com;the.sciencebehindecommerce.com;www.awin1.com;www.dwin1.com;www.wepowerconnections.com
Axel Springer Teaser Ad GmbH,Unknown,
Axiom Media Connect,Ad Network,
Axonix LTD,Ad Platform,
Azameo,Ad Platform,
Azerion Holding B.V.,Ad Network,pm.azerioncircle.com
B2B Media Group GmbH,Retargeting / Optimization,
Bababam,Unknown,
Babylon.js,Attribution / Analytics,preview.babylonjs.com
Bader Rutter,Ad Agency,
Baidu,Website Tools;Ad Network,
Baidu USA,Unknown,
Bailey Brand Consulting,Ad Agency,
bam! interactive marketing GmbH,Unknown,
bam! interactive marketing GmbH ,Unknown,
Bambuser AB,Customization,cdn.bambuser.net;cdn.liveshopping.bambuser.com;eu-west-1-s3archive.bambuser.io;lcx-embed.bambuser.com;lcx-player.bambuser.com;lcx-widgets.bambuser.com
Bandsintown Amplified LLC,Unknown,
BannerBoo,Ad Platform,
Bannerconnect,Ad Exchange,
Bannerflow AB,Ad Platform,
Bannernow, Inc.,Ad Agency,
Bannerspace,Ad Network,
Bannerwise,Ad Platform,
BaronsMedia,Ad Agency,
Basis,Unknown,
Basis Global Technologies, Inc.,Demand Side Platform (DSP),
Baynote Inc.,Service Provider,
Bazaarvoice,Inc.,Customization;analytics-static.ugc.bazaarvoice.com;api.bazaarvoice.com;apps.bazaarvoice.com;contentorigin.bazaarvoice.com;curalate.com;display-stg.ugc.bazaarvoice.com;display.ugc.bazaarvoice.com;edge.curalate.com;network-a.bazaarvoice.com;network.bazaarvoice.com;network-eu-a.bazaarvoice.com;network-eu.bazaarvoice.com;network-eu-stg.bazaarvoice.com;network-stg-a.bazaarvoice.com;network-stg.bazaarvoice.com;photos-eu.bazaarvoice.com;photos-us.bazaarvoice.com;rh.nexus.bazaarvoice.com;stg.api.bazaarvoice.com
Bazaarvoice, Inc.,Service Provider,
BBC News,Ad Network,
BCOVERY SAS,Unknown,
bd4travel,Retargeting / Optimization,
BDEX,Data Provider / Aggregator,
BDSK Handels GmbH & Co. KG,Unknown,
Beachfront,Ad Network,
Beachfront Media LLC,Ad Platform,
beBee,Social / Sharing Tools,
Beemray Oy,Retargeting / Optimization,
Beeswax,Unknown,
BeeswaxIO Corporation,Ad Exchange;Ad Network,bidr.io;segment.prod.bidr.io
Beetailer,Retargeting / Optimization,
Begun,Service Provider,
Behave Ads,Sell Side Platform (SSP),
BEHE Adtech Solution,Demand Side Platform (DSP),
BEINTOO SPA,Data Management Platform (DMP),
belboon GmbH,Ad Network,
Bell Media,Ad Platform;Ad Network,
Benamic,Ad Agency,
Bench,Ad Platform,
BeOp,Unknown,
BeRoll,Ad Platform,
Bertelsmann Data Service GmbH,Publisher Related,
Besocy,Unknown,
BestSSP,Sell Side Platform (SSP),
bet365,Unknown,
Better Ads GmbH,Unknown,
Between Exchange,Ad Network,ads.betweendigital.com;betweendigital.com
Beusable,Attribution / Analytics;Customization,samsungscript.beusable.net
Beyable,Retargeting / Optimization,
BI.Garage,Data Management Platform (DMP),
BIA Advisory Services,Ad Platform,
BidBerry SRL,Unknown,
BiddingX,Demand Side Platform (DSP),
Bidease,Demand Side Platform (DSP),
BidMachine Inc.,Unknown,
Bidmanagement GmbH,Demand Side Platform (DSP),
Bidmatic Inc,Unknown,
Bidstack,Ad Network,
Bidstack Limited,Unknown,
Bidstream Media,Ad Exchange,
Bidswitch,Ad Network,
BIDSWITCH GmbH,Ad Network,
Bidtellect, Inc,Demand Side Platform (DSP),
BidTheatre AB,Demand Side Platform (DSP),
BidVertiser,Ad Network,
BIG,Ad Exchange,
Big Mining,Data Management Platform (DMP),
Bigabid Media ltd,Unknown,
BigBangData GmbH,Ad Agency,
BIGLUCK8,Publisher Related,
Bigo,Ad Network,
BILENDI SA,Unknown,
Biletomat.pl,Customization,embed.biletomat.pl;www.biletomat.pl
Bilibili,Social / Sharing Tools;Ad Network,
Bilin Technology,Ad Platform,
Biopharm Communications,Ad Server,
Bisniscom,Ad Network,
Bit Q Holdings Limited,Unknown,
Bitly,Service Provider,
Bitrix24,Service Provider,
BitSight Technologies,Service Provider,
BitTorrent Media Network,Ad Network,
Bizx,Service Provider,
Blacknut,Customization,images.blacknut.com;videos.blacknut.com;www.blacknut.com
BlackPlanet,Social / Sharing Tools,
Blastis Corporation,Ad Network,
Blastro,Publisher Related,
Blend Marketing Ltd.,Ad Agency,
BLENDEE S.R.L.,Unknown,
Blendee srl,Ad Server,
BLIINK SAS,Ad Network,
Blingby LLC,Ad Platform,
Blis,Ad Platform,
Blis Global Limited,Unknown,
Blockthrough, Inc.,Unknown,
Blue,Retargeting / Optimization,
Blue Billywig Group BV,Unknown,
Blue Box Productions,Ad Agency,
Blue Media Services LTDA,Unknown,
BlueConic,Data Management Platform (DMP),
Blueknow,Customization,pixel-rmk.blueknow.com
Bluemetrix,Attribution / Analytics,
Bluetent,Ad Agency,
Bmind a Sales Maker Company, S.L.,Unknown,
Boats Group,Publisher Related,
Boldwin LTD,Unknown,
Bombora,Ad Platform,
Bombora Inc.,Data Provider / Aggregator,
Booking.com B.V.,Unknown,
Boost.ai,Customization,samsungnordics.boost.ai
Boostable,Ad Platform,
Bootleg Digital LTD,Unknown,
Bootstrap CDN,Customization,maxcdn.bootstrapcdn.com;stackpath.bootstrapcdn.com
Boston Consulting Group,Unknown,
BotScanner,Attribution / Analytics,
BotTalk UG (haftungsbeschränkt),Unknown,
Box - UK,Service Provider,
Brainly,Social / Sharing Tools,
Branch,Retargeting / Optimization;Ad Platform,
Branches Vous (BV! Media),Ad Network,
Brand Advance Ltd,Unknown,
Brand Metrics Sweden AB,Unknown,
Brand Networks,Ad Network,
Brand New Tube,Social / Sharing Tools,
BrandAction Agency,Ad Agency,
Brandcom.inc AS,Ad Platform,
Brandhouse/Subsero A/S,Unknown,
Brandify,Retargeting / Optimization,
Brave Bison Ltd.,Social / Sharing Tools,
Brave People Ltd.,Unknown,
Brid Video DOO,Ad Platform,
BrideClick,Ad Network,
Bridge,Ad Platform,
BridgeTrack,Ad Network,
Bridgevine,Service Provider,
Bridgewell,Demand Side Platform (DSP),
Brightcove,Customization,admin.brightcove.com;edge.api.brightcove.com;f12.cf.brightcove.com;f1.cf.brightcove.com;metrics.brightcove.com;players.brightcove.net;sadmin.brightcove.com;vjs.zencdn.net
BrightEdge,Service Provider,
BrightInfo,Retargeting / Optimization,
Bring! Labs AG,Unknown,
BritePool Inc,Ad Network,
Broad Street Co,Ad Agency,
Broadsign,Ad Network,
Brookfield Digital,Ad Agency,
Browsi,Unknown,
BSmartData GmbH,Unknown,
BTOLEAD,Ad Network,
Bubblestat,Publisher Related,
Bucksense Inc,Ad Platform,
Buffer,Social / Sharing Tools,
Business Insider,Ad Network,
Businessclick Sp. z o.o.,Unknown,
BuyerLink,Ad Network,
BuySellAds,Ad Network,
Buzzoola,Ad Exchange,
BYTEDANCE PTE. LTD.,Ad Network;Customization,analytics.pangle-ads.com;sf16-scmcdn-sg.ibytedtos.com
C Wire AG,Unknown,
C1X,Ad Platform,
C3 Metrics,Attribution / Analytics,
C8 Network,Ad Exchange,
Cablato,Ad Platform,
Cablato Limited,Unknown,
cacaFly,Ad Platform,
Cactus Media,Ad Network,
Cadent,Unknown,
Cadreon,Ad Network,
Caesar & Gustav,Ad Agency,
Cafemedia,Ad Network,
CAKE Health,Ad Agency,
Calendly,Customization,assets.calendly.com;calendly.com
Calltouch,Ad Platform,
Caloga,Service Provider,
Calzedonia,Unknown,
Campus Media,Ad Agency,
Candid,Social / Sharing Tools,
Candid IO,Social / Sharing Tools,
Canned Banners,Ad Platform,
Capital Invent Mx, SAPI de CV,Ad Network,
Capitaldata,Unknown,
Captify,Unknown,
Captify Technologies Limited,Retargeting / Optimization,
Carambola Ltd,Ad Platform,
Carbon,Ad Network,
Carbon Footprint,Customization,calculator.carbonfootprint.com;carbonfootprint.com
Cardlytics,Attribution / Analytics,
Cargo,Website Tools,
Caroda s.r.o.,Ad Platform,
Carrefour,Ad Platform,
Cars.com,Ad Platform,
Cartegie,Data Provider / Aggregator,
CARTO,Attribution / Analytics,
Castello Cities Internet Network (CCIN),Ad Network,
CASTOOLA D.O.O.,Unknown,
Catalina,Ad Platform,
Catalina BuyerVision,Unknown,
Catalyst Apps (Former PictureTrail),Social / Sharing Tools,
Cauly,Ad Server,
Cavai AS,Unknown,
Cazamba Serviços de Internet Ltda,Ad Network,
CBS Interactive,Publisher Related;Ad Network,
CC Data,Ad Platform,
CCM Benchmark,Ad Platform,
CCM Performance,Retargeting / Optimization,
